team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
G2 ESPORTS;5;2;40.00;5868;1173.6;12;2.4;11;2.2;17;3.4;51;10.2;36;7.2;13;2.6;23.53;1287;137.15;42464;8492.8;29718;5943.6;12746;2549.2;343;68.6;1120;224;10841;2168.2;6583;1316.6;4258;851.6;75;15;371;74.2;853.89;170.78;558.1;111.62;5781;1156.2;4675;935;967;193.4;8957428;1791485.62;2481.67;496.33;2466.76;493.35;1014.42;202.88;3263.65;652.73;2315.78;463.16;383.41;76.68;162.35;32.47;0;1539;307.8;4180.89;836.18;1781.97;356.39;3671.83;734.37;2291.03;458.21;2629.28;525.86;1962.61;392.52;1370.99;274.2;21;4.2;17;3.4
SONIQS;3;0;0.00;2245;748.33;2;0.67;2;0.67;8;2.67;15;5;22;7.33;8;2.67;13.33;1077;158.7;20494;6831.33;13306;4435.33;7188;2396;166;55.33;658;219.33;5890;1963.33;3541;1180.33;2349;783;41;13.67;217;72.33;257.58;85.86;365.82;121.94;2182;727.33;3571;1190.33;627;209;4868066;1622688.62;1724.29;574.76;1332.94;444.31;379.83;126.61;2036.67;678.89;1212.88;404.29;187.5;62.5;85.92;28.64;0;759;253;2391.26;797.09;1045.79;348.6;2123.34;707.78;1313.72;437.91;1493.8;497.93;1216.75;405.58;726.5;242.17;8;2.67;7;2.33
THE PEEPS;12;6;50.00;14263;1188.58;24;2;21;1.75;70;5.83;90;7.5;108;9;22;1.83;26.67;1238.75;137.54;89548;7462.33;62991;5249.25;26557;2213.08;745;62.08;2228;185.67;19058;1588.17;12189;1015.75;6869;572.42;141;11.75;589;49.08;1950.63;162.55;1106.61;92.22;12954;1079.5;11207;933.92;1711;142.58;18892472;1574372.62;6260.22;521.68;5246.03;437.17;1722.45;143.54;7736.63;644.72;4791.88;399.32;700.14;58.34;336.19;28.02;0;3215;267.92;9641.11;803.43;3587.52;298.96;8930.46;744.21;4298.11;358.18;6736.78;561.4;4120.7;343.39;2371.17;197.6;39;3.25;47;3.92
KNIGHTS;5;2;40.00;4894;978.8;9;1.8;6;1.2;25;5;43;8.6;46;9.2;13;2.6;20.93;1135.4;150.04;32543;6508.6;22288;4457.6;10255;2051;272;54.4;921;184.2;6324;1264.8;3657;731.4;2667;533.4;42;8.4;233;46.6;477.22;95.44;664.05;132.81;4346;869.2;5323;1064.6;561;112.2;7342992;1468598.38;2587.19;517.44;1842.21;368.44;768.95;153.79;3043.55;608.71;1891.19;378.24;263.62;52.72;108.8;21.76;0;1038;207.6;3862.76;772.55;1335.58;267.12;3534.69;706.94;1663.7;332.74;2621.26;524.25;1698.8;339.76;878.26;175.65;17;3.4;18;3.6
NRG;12;8;66.67;12959;1079.92;26;2.17;18;1.5;56;4.67;122;10.17;89;7.42;12;1;21.31;1203;154.5;80668;6722.33;56753;4729.42;23915;1992.92;712;59.33;2087;173.92;15841;1320.08;9406;783.83;6435;536.25;112;9.33;557;46.42;1121.33;93.44;1434.31;119.53;11375;947.92;15000;1250;1873;156.08;18177564;1514797;5272.99;439.42;4862.56;405.21;2072.64;172.72;6917.41;576.45;4590.12;382.51;700.64;58.39;274.36;22.86;0;2926;243.83;9179.72;764.98;3028.49;252.37;7838.9;653.24;4369.27;364.11;5749.49;479.12;3964.76;330.4;2493.9;207.82;28;2.33;27;2.25
ALPINE ESPORTS;3;0;0.00;3037;1012.33;3;1;2;0.67;19;6.33;28;9.33;34;11.33;12;4;10.71;1195;153.2;20855;6951.67;13924;4641.33;6931;2310.33;170;56.67;629;209.67;4951;1650.33;2843;947.67;2108;702.67;34;11.33;195;65;389.05;129.68;360.77;120.26;3477;1159;3381;1127;577;192.33;4582459;1527486.38;1423.6;474.53;1281.07;427.02;465.97;155.32;1872.06;624.02;1126.23;375.41;172.27;57.42;68.84;22.95;0;727;242.33;2237.94;745.98;932.66;310.89;2048.6;682.87;1121.98;373.99;1489.79;496.6;1063.15;354.38;617.65;205.88;3;1;2;0.67
TEAM ENVY;9;3;33.33;9900;1100;14;1.56;12;1.33;52;5.78;70;7.78;83;9.22;17;1.89;20;1189.33;154.2;60267;6696.33;42253;4694.78;18014;2001.56;519;57.67;1554;172.67;12162;1351.33;7625;847.22;4537;504.11;93;10.33;401;44.56;1034.87;114.99;1022.39;113.6;6588;732;10043;1115.89;1714;190.44;13230915;1470101.62;4315.39;479.49;3599.65;399.96;1240.9;137.88;5106.96;567.44;3464.13;384.9;584.85;64.98;211.21;23.47;0;1644;182.67;6689.73;743.3;2466.23;274.03;6101.98;678;3054;339.33;4546.79;505.2;2894.14;321.57;1715.07;190.56;32;3.56;26;2.89
SPACESTATION;15;11;73.33;16345;1089.67;26;1.73;15;1;81;5.4;116;7.73;117;7.8;19;1.27;22.41;1191.87;153.11;105258;7017.2;75504;5033.6;29754;1983.6;950;63.33;2560;170.67;23858;1590.53;14800;986.67;9058;603.87;179;11.93;776;51.73;1753.65;116.91;2170.78;144.72;16664;1110.93;19978;1331.87;3186;212.4;22784520;1518968;7452.82;496.85;6071.77;404.78;2272.64;151.51;9317.82;621.19;5673.85;378.26;805.52;53.7;372.67;24.84;0;3185;212.33;11720.61;781.37;4076.59;271.77;10262.78;684.19;5534.35;368.96;7552.27;503.48;5046.19;336.41;3198.74;213.25;43;2.87;47;3.13
