team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ROGUE;Firstkiller;19;8;42.11;8317;437.74;15;0.79;13;0.68;33;1.74;65;3.42;178;9.37;47;2.47;16;0.84;23.08;483.65;52.67;58274;3067.05;42133;2217.53;16141;849.53;509;26.79;1450;76.32;15722;827.47;10208;537.26;5514;290.21;123;6.47;497;26.16;882.31;46.44;1149.31;60.49;13576;714.53;9216;485.05;2159;113.63;1633.89;11043799;581252.56;2868.59;150.98;2663.96;140.21;1622.38;85.39;4176.86;219.83;2511.81;132.2;466.23;24.54;150;7.89;0.11;1333;70.16;2160.2;113.69;2438.9;128.36;2227.19;117.22;4927.74;259.35;4364.58;229.71;2790.33;146.86;3293.57;173.35;2096.38;110.34;1764.97;92.89;51;2.68;20;1.05
NRG;GarrettG;12;9;75.00;4313;359.42;12;1;5;0.42;15;1.25;40;3.33;82;6.83;14;1.17;5;0.42;30;377.7;54.04;26354;2196.17;17370;1447.5;8984;748.67;225;18.75;820;68.33;5208;434;2703;225.25;2505;208.75;34;2.83;228;19;265.12;22.09;415.84;34.65;3890;324.17;5375;447.92;802;66.83;1553.44;6046732;503894.34;1790.12;149.18;1691.52;140.96;625.23;52.1;2376.95;198.08;1526.31;127.19;203.59;16.97;96.64;8.05;0.12;804;67;1302.4;108.53;1347.3;112.27;1014.89;84.57;3091.95;257.66;2628.76;219.06;1478.12;123.18;1882.96;156.91;1408.27;117.36;815.65;67.97;12;1;10;0.83
PPS;Gyro.;15;9;60.00;5823;388.2;10;0.67;5;0.33;27;1.8;46;3.07;116;7.73;23;1.53;8;0.53;21.74;417.07;44.16;37451;2496.73;26481;1765.4;10970;731.33;303;20.2;926;61.73;6423;428.2;4042;269.47;2381;158.73;45;3;213;14.2;781.61;52.11;502.56;33.5;6155;410.33;3822;254.8;488;32.53;1538.08;7912942;527529.44;2393.03;159.54;2253.95;150.26;748.43;49.9;3083.55;205.57;1953.09;130.21;358.79;23.92;88.64;5.91;0.1;872;58.13;1924.2;128.28;1806.6;120.44;1442.74;96.18;3952.69;263.51;3672.91;244.86;1722.5;114.83;2752.65;183.51;1630.43;108.7;1012.33;67.49;12;0.8;24;1.6
G2 ESPORTS;JKnaps;13;9;69.23;5628;432.92;14;1.08;9;0.69;19;1.46;44;3.38;81;6.23;20;1.54;12;0.92;31.82;414.93;49.2;31595;2430.38;22944;1764.92;8651;665.46;281;21.62;747;57.46;7408;569.85;4285;329.62;3123;240.23;51;3.92;254;19.54;625;48.08;460.59;35.43;3788;291.38;5096;392;844;64.92;1593.5;6776289;521253;1867.2;143.63;1902.87;146.37;721.56;55.5;2382.22;183.25;1779.62;136.89;329.73;25.36;142.33;10.95;0.11;1244;95.69;1544.7;118.82;1409.8;108.45;1249.19;96.09;3242.4;249.42;2799.26;215.33;1692.27;130.17;1973.67;151.82;1542.99;118.69;974.94;75;6;0.46;13;1
72PC;Jacob;14;4;28.57;4077;291.21;1;0.07;5;0.36;21;1.5;27;1.93;118;8.43;32;2.29;10;0.71;3.7;377.14;49.67;31472;2248;20979;1498.5;10493;749.5;262;18.71;925;66.07;7422;530.14;4315;308.21;3107;221.93;56;4;278;19.86;480.06;34.29;600.74;42.91;5531;395.07;5284;377.43;1315;93.93;1544.21;7192513;513750.94;2108.38;150.6;2139.77;152.84;633.37;45.24;2847.08;203.36;1802.9;128.78;231.52;16.54;116.48;8.32;0.12;984;70.29;1673.1;119.51;1580.7;112.91;1500.85;107.2;3380.67;241.48;3061.86;218.7;1819.65;129.98;2229.34;159.24;1602.59;114.47;1049.58;74.97;19;1.36;18;1.29
CHARLOTTE;Karma;17;6;35.29;6611;388.88;8;0.47;5;0.29;39;2.29;35;2.06;156;9.18;34;2;10;0.59;22.86;395.01;55.48;40231;2366.53;27100;1594.12;13131;772.41;355;20.88;1178;69.29;7157;421;3783;222.53;3374;198.47;50;2.94;306;18;530.41;31.2;610.65;35.92;5461;321.24;8659;509.35;1295;76.18;1576.74;9045644;532096.69;2517.39;148.08;2591.26;152.43;910.68;53.57;3456.24;203.31;2189.77;128.81;373.35;21.96;131.84;7.76;0.12;1100;64.71;2333.9;137.29;1893.6;111.39;1539.16;90.54;4480.2;263.54;4242.52;249.56;1776.84;104.52;3213.52;189.03;1799.29;105.84;1006.5;59.21;15;0.88;24;1.41
JJ;Kraziks;14;5;35.71;4356;311.14;4;0.29;9;0.64;18;1.29;39;2.79;109;7.79;26;1.86;4;0.29;10.26;490.52;45.94;42558;3039.86;29952;2139.43;12606;900.43;357;25.5;1087;77.64;9024;644.57;5256;375.43;3768;269.14;60;4.29;333;23.79;690.69;49.33;528.51;37.75;9121;651.5;5648;403.43;747;53.36;1654.92;8241597;588685.5;1963.1;140.22;2085.21;148.94;1146.07;81.86;3083.99;220.29;1809.42;129.24;300.97;21.5;116.49;8.32;0.13;904;64.57;1560.6;111.47;1878.3;134.16;1480.15;105.72;3714.21;265.3;3269.23;233.52;1925.13;137.51;2326.52;166.18;1762.48;125.89;1105.39;78.96;30;2.14;9;0.64
ROGUE;Kronovi;19;8;42.11;7364;387.58;14;0.74;9;0.47;33;1.74;55;2.89;178;9.37;47;2.47;17;0.89;25.45;372.67;40.88;42616;2242.95;30848;1623.58;11768;619.37;363;19.11;1003;52.79;9477;498.79;5788;304.63;3689;194.16;67;3.53;316;16.63;1356.51;71.4;619.13;32.59;8812;463.79;5025;264.47;877;46.16;1512.33;10245664;539245.5;3490.9;183.73;2676.24;140.85;1002.44;52.76;4197.86;220.94;2457.21;129.33;514.49;27.08;129.2;6.8;0.09;1367;71.95;2466.7;129.83;2288.8;120.46;2098.37;110.44;5071.2;266.91;4556.92;239.84;2612.64;137.51;3333.78;175.46;2299.67;121.04;1536.12;80.85;18;0.95;16;0.84
JJ;Lj;14;5;35.71;5092;363.71;6;0.43;3;0.21;24;1.71;42;3;109;7.79;26;1.86;11;0.79;14.29;417.63;48.47;36498;2607;25103;1793.07;11395;813.93;299;21.36;973;69.5;7941;567.21;4738;338.43;3203;228.79;56;4;270;19.29;724.38;51.74;486.4;34.74;6092;435.14;4593;328.07;923;65.93;1599.82;7956286;568306.12;2041.6;145.83;2296.45;164.03;849.59;60.69;2966.5;211.89;1922.9;137.35;298.23;21.3;112.9;8.06;0.1;1161;82.93;1901.5;135.82;1638.2;117.01;1229.68;87.83;3957.94;282.71;3441.74;245.84;1745.9;124.71;2488.6;177.76;1721.61;122.97;977.43;69.82;14;1;10;0.71
KC PIONEERS;Memory;17;7;41.18;6313;371.35;14;0.82;4;0.24;30;1.76;38;2.24;142;8.35;41;2.41;15;0.88;36.84;406.8;49.26;40666;2392.12;26671;1568.88;13995;823.24;332;19.53;1216;71.53;8844;520.24;4733;278.41;4111;241.82;55;3.24;336;19.76;713.11;41.95;539.74;31.75;5828;342.82;6636;390.35;803;47.24;1555.83;8946409;526259.38;2580.82;151.81;2688.76;158.16;814.08;47.89;3716.53;218.62;2092.41;123.08;274.74;16.16;165.32;9.72;0.1;1730;101.76;2329.4;137.02;1671.1;98.3;1500.15;88.24;4583.53;269.62;3924.66;230.86;2159.02;127;2859.66;168.22;2074.28;122.02;1149.75;67.63;19;1.12;20;1.18
