team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
PLOT TWIST;mectos;23;10;43.48;8266;359.39;11;0.48;10;0.43;41;1.78;58;2.52;215;9.35;46;2;20;0.87;18.97;396.37;43.23;54626;2375.04;38344;1667.13;16282;707.91;451;19.61;1373;59.7;12706;552.43;8038;349.48;4668;202.96;91;3.96;401;17.43;1472.88;64.04;620.58;26.98;9028;392.52;6681;290.48;1072;46.61;1555.8;12538363;545146.19;3730.64;162.2;3497.95;152.08;1262.32;54.88;4556.17;198.09;3251.7;141.38;683;29.7;190.26;8.27;0.1;1869;81.26;2725.3;118.49;2872.2;124.88;2582.05;112.26;5908.83;256.91;5489.78;238.69;3001.07;130.48;4102.95;178.39;2579.39;112.15;1808.59;78.63;20;0.87;22;0.96
TEAM ENVY;mist;12;9;75.00;5164;430.33;14;1.17;4;0.33;24;2;37;3.08;77;6.42;16;1.33;8;0.67;37.84;408.17;50.32;27954;2329.5;21102;1758.5;6852;571;260;21.67;608;50.67;5575;464.58;3874;322.83;1701;141.75;50;4.17;156;13;536.68;44.72;418.85;34.9;3728;310.67;4918;409.83;1156;96.33;1618.28;6418757;534896.44;1655.42;137.95;1758.96;146.58;769.33;64.11;2194.63;182.89;1757.22;146.44;231.85;19.32;85.1;7.09;0.14;608;50.67;1515.2;126.27;1284.5;107.04;976.22;81.35;3207.51;267.29;2805.37;233.78;1378.36;114.86;2038.56;169.88;1366.03;113.84;779.1;64.92;10;0.83;8;0.67
TEAM METEOR;money;14;5;35.71;5623;401.64;10;0.71;8;0.57;26;1.86;34;2.43;149;10.64;36;2.57;11;0.79;29.41;387.22;48.78;32169;2297.79;22217;1586.93;9952;710.86;265;18.93;855;61.07;7562;540.14;4477;319.79;3085;220.36;57;4.07;258;18.43;657.1;46.94;513.45;36.67;2272;162.29;4434;316.71;1215;86.79;1517.48;7227181;516227.22;2277.04;162.65;2229.84;159.27;532.23;38.02;2347.84;167.7;2284.85;163.2;406.39;29.03;154.33;11.02;0.08;1887;134.79;1388.7;99.19;1865.4;133.24;1572.34;112.31;3466.76;247.63;3281.95;234.43;1757.13;125.51;2410.09;172.15;1616.7;115.48;1012.29;72.31;5;0.36;12;0.86
INFINITE SHOTS;nessCoff.;12;3;25.00;4083;340.25;4;0.33;7;0.58;19;1.58;31;2.58;84;7;30;2.5;13;1.08;12.9;385.92;50.31;27842;2320.17;17740;1478.33;10102;841.83;220;18.33;875;72.92;5732;477.67;2563;213.58;3169;264.08;32;2.67;278;23.17;471.02;39.25;437.21;36.43;2926;243.83;4325;360.42;689;57.42;1566.34;6506585;542215.44;1914.47;159.54;1798.64;149.89;669.96;55.83;2355.34;196.28;1737.78;144.81;289.97;24.16;87.97;7.33;0.11;788;65.67;1612.3;134.36;1280.9;106.74;1112.66;92.72;3270.4;272.53;2882.79;240.23;1500.29;125.02;2144.8;178.73;1400.98;116.75;837.27;69.77;12;1;9;0.75
THE 1ST GRADERS;oath;21;11;52.38;8980;427.62;16;0.76;11;0.52;45;2.14;51;2.43;218;10.38;49;2.33;15;0.71;31.37;389.89;47.29;52504;2500.19;34996;1666.48;17508;833.71;419;19.95;1505;71.67;10793;513.95;6096;290.29;4697;223.67;70;3.33;406;19.33;1013.65;48.27;724.31;34.49;6310;300.48;6890;328.1;865;41.19;1517.2;11726668;558412.75;3830.37;182.4;3174.52;151.17;1144.6;54.5;4283.16;203.96;3285.69;156.46;580.63;27.65;171.5;8.17;0.08;2130;101.43;2779.9;132.38;2450.7;116.7;2237.58;106.55;5911.92;281.52;5399.96;257.14;2749.48;130.93;3964.1;188.77;2633.83;125.42;1551.54;73.88;20;0.95;15;0.71
ALPINE ESPORTS;percy.;13;10;76.92;5333;410.23;10;0.77;12;0.92;24;1.85;35;2.69;96;7.38;22;1.69;9;0.69;28.57;494.06;48.72;36051;2773.15;25874;1990.31;10177;782.85;308;23.69;883;67.92;6859;527.62;4206;323.54;2653;204.08;49;3.77;229;17.62;543;41.77;340.21;26.17;7127;548.23;4964;381.85;702;54;1651.11;6960813;535447.12;1632.48;125.58;1956.26;150.48;891.73;68.59;2637.17;202.86;1570.68;120.82;272.59;20.97;132.16;10.17;0.1;1324;101.85;1604.7;123.44;1327.3;102.1;1165.06;89.62;3315.4;255.03;3005.71;231.21;1474.74;113.44;2207.44;169.8;1420.81;109.29;852.19;65.55;11;0.85;14;1.08
CRIMSON WINGS;primethunder;17;6;35.29;5275;310.29;5;0.29;10;0.59;22;1.29;48;2.82;131;7.71;35;2.06;10;0.59;10.42;417.56;41.62;41675;2451.47;26315;1547.94;15360;903.53;292;17.18;1307;76.88;8484;499.06;4572;268.94;3912;230.12;51;3;326;19.18;1110.89;65.35;389.53;22.91;4934;290.24;2754;162;411;24.18;1469.22;8515338;500902.25;3005.23;176.78;2461.9;144.82;608.94;35.82;3495.97;205.65;2234.48;131.44;345.63;20.33;161.07;9.47;0.09;1747;102.76;1798.2;105.78;2183.4;128.44;1899.31;111.72;4176.77;245.69;3911.46;230.09;2164.63;127.33;2778.04;163.41;2097.56;123.39;1200.54;70.62;14;0.82;15;0.88
VALORSGG;pure;13;4;30.77;4456;342.77;5;0.38;8;0.62;24;1.85;19;1.46;125;9.62;42;3.23;18;1.38;26.32;450.52;43.7;33312;2562.46;24427;1879;8885;683.46;275;21.15;699;53.77;5942;457.08;3753;288.69;2189;168.38;41;3.15;190;14.62;875.63;67.36;405.05;31.16;4785;368.08;3060;235.38;359;27.62;1534.55;6613790;508753.06;2079.73;159.98;1829.99;140.77;688.61;52.97;2508.62;192.97;1825.22;140.4;264.46;20.34;123.51;9.5;0.12;1066;82;1763.4;135.65;1414.3;108.79;1216.29;93.56;3381.99;260.15;3188.92;245.3;1409.39;108.41;2432.16;187.09;1355.32;104.26;810.81;62.37;14;1.08;8;0.62
KNIGHTS;radoko.;21;10;47.62;7303;347.76;12;0.57;14;0.67;31;1.48;55;2.62;152;7.24;45;2.14;12;0.57;21.82;414.32;54;51483;2451.57;36074;1717.81;15409;733.76;456;21.71;1358;64.67;11156;531.24;6895;328.33;4261;202.9;85;4.05;371;17.67;638.66;30.41;910.01;43.33;8135;387.38;9971;474.81;1619;77.1;1567.25;10906397;519352.25;3269.35;155.68;2892.61;137.74;1214.7;57.84;4306.88;205.09;2669.05;127.1;400.73;19.08;142.79;6.8;0.1;1406;66.95;2530.4;120.5;2423.9;115.42;2022.78;96.32;5353.86;254.95;4872.88;232.04;2503.71;119.22;3550.18;169.06;2459.35;117.11;1367.12;65.1;10;0.48;21;1
KC PIONEERS;rapid;20;13;65.00;7353;367.65;14;0.7;14;0.7;32;1.6;48;2.4;120;6;29;1.45;8;0.4;29.17;460.75;50.27;54052;2702.6;41999;2099.95;12053;602.65;529;26.45;1038;51.9;16957;847.85;12148;607.4;4809;240.45;146;7.3;424;21.2;963.03;48.15;750.81;37.54;9745;487.25;10636;531.8;2251;112.55;1618.16;10824138;541206.88;2767.12;138.36;3092.66;154.63;1187.42;59.37;4110.62;205.53;2432.64;121.63;503.92;25.2;130.18;6.51;0.12;1105;55.25;1730.3;86.51;2986.7;149.33;2357.39;117.87;4689.82;234.49;3837.43;191.87;3209.79;160.49;2697.03;134.85;2305.65;115.28;2044.56;102.23;24;1.2;17;0.85
PLOT TWIST;sosa;23;10;43.48;10887;473.35;23;1;11;0.48;57;2.48;83;3.61;215;9.35;46;2;12;0.52;27.71;370.92;49.24;51822;2253.13;36450;1584.78;15372;668.35;464;20.17;1312;57.04;12674;551.04;8174;355.39;4500;195.65;100;4.35;397;17.26;969.93;42.17;807.39;35.1;7531;327.43;9989;434.3;1895;82.39;1563.8;12549920;545648.69;3649.81;158.69;3555.94;154.61;1242.67;54.03;4764.67;207.16;3210.05;139.57;473.73;20.6;153.42;6.67;0.09;1672;72.7;2531.1;110.05;2946.4;128.1;2593.83;112.78;5854.61;254.55;5353.05;232.74;3095.39;134.58;3920.64;170.46;2706.19;117.66;1821.57;79.2;12;0.52;36;1.57
VALORSGG;testgravity;13;4;30.77;4672;359.38;9;0.69;7;0.54;21;1.62;29;2.23;125;9.62;42;3.23;11;0.85;31.03;488.76;50.88;36965;2843.46;26495;2038.08;10470;805.38;318;24.46;920;70.77;7972;613.23;5000;384.62;2972;228.62;59;4.54;262;20.15;507.82;39.06;303.39;23.34;6524;501.85;5303;407.92;934;71.85;1657.65;7116934;547456.44;1692.35;130.18;1884.94;145;1009.83;77.68;2476.36;190.49;1852.68;142.51;258.11;19.85;121;9.31;0.11;1088;83.69;1357.8;104.45;1728.9;132.99;1471.69;113.21;3115.44;239.65;2995.64;230.43;1591.49;122.42;2213.5;170.27;1450.84;111.6;922.8;70.98;11;0.85;11;0.85
VERSION1;torment;16;10;62.50;4912;307;8;0.5;6;0.38;13;0.81;44;2.75;98;6.12;29;1.81;10;0.62;18.18;397.68;46.61;38998;2437.38;26269;1641.81;12729;795.56;327;20.44;1054;65.88;7825;489.06;4150;259.38;3675;229.69;50;3.12;306;19.12;658.61;41.16;534.8;33.42;4465;279.06;6458;403.62;885;55.31;1522.22;8534212;533388.25;2642.28;165.14;2531.01;158.19;716.69;44.79;3103.83;193.99;2451.27;153.2;334.89;20.93;86.04;5.38;0.08;1022;63.88;2154.7;134.67;1792.5;112.03;1479.08;92.44;4410.88;275.68;3711.86;231.99;2178;136.12;2682.15;167.63;2014.85;125.93;1192.97;74.56;14;0.88;11;0.69
TEAM METEOR;xpurt;13;5;38.46;4384;337.23;5;0.38;6;0.46;27;2.08;28;2.15;132;10.15;34;2.62;15;1.15;17.86;397.64;52.92;30655;2358.08;22084;1698.77;8571;659.31;273;21;758;58.31;7527;579;5005;385;2522;194;66;5.08;220;16.92;446.61;34.35;616.34;47.41;5866;451.23;5410;416.15;1702;130.92;1556.35;6848974;526844.12;2118.75;162.98;1732.12;133.24;816.53;62.81;2859.85;219.99;1605.95;123.53;201.6;15.51;59.36;4.57;0.13;446;34.31;1639.4;126.11;1410.6;108.51;1264.83;97.29;3402.59;261.74;3111.5;239.35;1555.92;119.69;2335.14;179.63;1436.55;110.5;895.73;68.9;20;1.54;11;0.85
