replay id;replay title;map;date;result;team name;opposing team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
8f74e77d-eda5-44b9-9e3f-2b27009261c9;JJ vs PT G2 2020-08-15.18.12;Urban Central (Dawn);2020-08-15 18:12:01;loss;JAMAL JABARY;PLOT TWIST;1555;2;2;10;7;16;3;28.57;1302;127.86;9845;6734;3111;78;265;1851;1173;678;13;63;207.04;104.12;1999;1026;140;2075359;606.6;555.01;228.56;806.22;511.39;72.55;38.03;338;353.08;1037.07;353.08;1042.44;347.7;835.79;364.69;189.67;3;7
8f74e77d-eda5-44b9-9e3f-2b27009261c9;JJ vs PT G2 2020-08-15.18.12;Urban Central (Dawn);2020-08-15 18:12:01;win;PLOT TWIST;JAMAL JABARY;1445;3;2;5;16;7;2;18.75;1242;140.63;9391;6606;2785;76;244;2931;1807;1124;21;98;170.98;120.93;1422;966;318;2100187;575.17;609.53;214.5;801.95;514.08;83.16;27.49;259;439.05;960.14;439.05;702.31;696.88;449.52;509.36;440.32;7;3
422f68dd-4963-4ad1-9ff2-4057918a6193;RGE vs PT-2-2020-08-15.23.28;Urban Central (Dawn);2020-08-15 23:28:30;loss;ROGUE;PLOT TWIST;883;1;1;4;10;6;2;10;1326;146.08;7189;5283;1906;58;167;1583;1025;558;11;50;147.26;135.19;1034;591;82;1461260;428.59;414.06;150.04;530.58;402.79;59.32;18.31;183;267.86;724.84;267.86;601.46;391.24;431.07;318.66;242.97;5;3
422f68dd-4963-4ad1-9ff2-4057918a6193;RGE vs PT-2-2020-08-15.23.28;Urban Central (Dawn);2020-08-15 23:28:30;win;PLOT TWIST;ROGUE;1215;2;1;8;6;10;1;33.33;1088;141.94;5708;3793;1915;46;164;1164;598;566;8;49;91.93;90.13;804;821;200;1418434;455.14;401.11;130.5;557.52;392.79;36.44;18.16;165;280.81;705.94;280.81;664.45;322.3;510.53;283.84;192.38;3;5
3a725a35-9cc1-4409-875d-cdee7e04529e;RGE vs PT-4-2020-08-15.23.46;Mannfield (Night);2020-08-15 23:46:01;loss;ROGUE;PLOT TWIST;1093;2;2;4;11;12;6;18.18;1272;137.11;7636;5408;2228;60;200;2156;1340;816;14;70;162.89;105.3;1468;672;63;1648549;494.49;448.93;193.81;655.25;409.82;72.17;20.85;208;322.17;815.07;322.17;672.35;464.89;488.81;385.46;262.97;7;2
3a725a35-9cc1-4409-875d-cdee7e04529e;RGE vs PT-4-2020-08-15.23.46;Mannfield (Night);2020-08-15 23:46:01;win;PLOT TWIST;ROGUE;1923;6;5;7;12;11;2;50;1121;132.79;7085;5107;1978;59;163;1326;931;395;10;34;140.18;60.2;763;809;70;1529579;560.09;416.96;143.83;606.01;426.99;87.87;20.04;190;303.32;817.54;303.32;820.43;300.44;652.65;294.24;173.96;2;7
78dbea65-ab93-4f82-b01a-e7ce37587cd5;SQ vs DR G3 2020-08-15.11.53;DFH Stadium;2020-08-15 11:53:10;win;SONIQS;DRIP;1285;3;2;3;15;3;0;20;1076;159.68;5752;3878;1874;51;166;2007;1159;848;14;71;60.12;126.9;685;1312;259;1423215;481.81;407.58;112.29;551.7;384.6;65.4;17.97;170;266.47;735.21;266.47;493.32;508.35;349.97;317.1;334.61;3;1
78dbea65-ab93-4f82-b01a-e7ce37587cd5;SQ vs DR G3 2020-08-15.11.53;DFH Stadium;2020-08-15 11:53:10;loss;DRIP;SONIQS;953;0;0;6;3;15;3;0;1165;139.4;6519;4311;2208;51;184;1489;707;782;8;59;139.37;73.1;1038;803;91;1379186;510.13;362.34;122.55;543.02;404.6;47.4;31.1;321;350.38;644.65;350.38;713.32;281.7;582.21;250.26;162.58;1;3
5c6c10c4-5b9f-4fb4-87a7-4f2d474efa94;JJ vs ZOO G2 2020-08-15.15.46;DFH Stadium;2020-08-15 15:46:43;win;JAMAL JABARY;ZOOKEEPERS;1834;2;1;10;13;14;1;15.38;1248;148.74;10992;7606;3386;93;305;2278;1356;922;17;84;184.38;166.49;2090;1582;298;2417297;687.66;620.84;287.74;900.88;573.79;121.55;41.41;362;448.25;1147.97;448.25;1089.19;507.03;855.39;450.51;290.32;5;6
5c6c10c4-5b9f-4fb4-87a7-4f2d474efa94;JJ vs ZOO G2 2020-08-15.15.46;DFH Stadium;2020-08-15 15:46:43;loss;ZOOKEEPERS;JAMAL JABARY;1512;1;1;8;14;13;2;7.14;1130;157.52;10104;7016;3088;85;269;2690;1512;1178;17;93;151.1;180.58;1552;1602;206;2415984;676.99;687.01;235.11;910.33;610.57;78.22;32.85;297;411.04;1188.09;411.04;920.07;678.98;649.32;544.28;405.53;6;5
