team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
CRIMSON WINGS;17;6;35.29;17143;1008.41;24;1.41;23;1.35;76;4.47;135;7.94;131;7.71;35;2.06;17.78;1177.94;133.77;117202;6894.24;76879;4522.29;40323;2371.94;914;53.76;3479;204.65;25455;1497.35;14640;861.18;10815;636.18;168;9.88;922;54.24;2391.41;140.67;1696.97;99.82;14451;850.06;14062;827.18;2089;122.88;25758608;1515212.25;8926.99;525.12;7098.55;417.56;2174.64;127.92;10386.05;610.94;6768.47;398.15;1045.63;61.51;513.78;30.22;0;5421;318.88;13170.61;774.74;5029.51;295.85;11995.28;705.6;6204.89;364.99;8677.3;510.43;6137.29;361.02;3385.61;199.15;42;2.47;52;3.06
ROGUE;14;9;64.29;17428;1244.86;39;2.79;31;2.21;72;5.14;143;10.21;121;8.64;24;1.71;27.27;1282.29;145.47;103288;7377.71;74504;5321.71;28784;2056;880;62.86;2516;179.71;24884;1777.43;15788;1127.71;9096;649.71;185;13.21;783;55.93;2009.41;143.53;1960.98;140.07;18308;1307.71;14194;1013.86;2874;205.29;21371316;1526522.62;6575.93;469.71;5759.57;411.4;2294.18;163.87;8474.46;605.32;5231.3;373.66;923.88;65.99;297.83;21.27;0;2830;202.14;10659.06;761.36;3970.6;283.61;9037.67;645.55;5592.01;399.43;6582.86;470.2;4684.3;334.59;3362.47;240.18;61;4.36;38;2.71
MAMBA MODE;13;4;30.77;13647;1049.77;19;1.46;16;1.23;68;5.23;111;8.54;122;9.38;33;2.54;17.12;1148.38;144.91;87972;6767.08;60511;4654.69;27461;2112.38;740;56.92;2389;183.77;19815;1524.23;12185;937.31;7630;586.92;145;11.15;673;51.77;1475.05;113.47;1208.93;92.99;11398;876.77;13773;1059.46;2353;181;20116804;1547446.5;6420.38;493.88;5628.92;432.99;1849.69;142.28;7881.34;606.26;5256.32;404.33;761.43;58.57;292.31;22.49;0;2685;206.54;9963.06;766.39;3935.98;302.77;9347.56;719.04;4551.47;350.11;7022.1;540.16;4252.22;327.09;2624.71;201.9;24;1.85;49;3.77
JAMAL JABARY;19;10;52.63;22387;1178.26;35;1.84;30;1.58;111;5.84;156;8.21;180;9.47;37;1.95;22.44;1311.68;137.73;148844;7833.89;102731;5406.89;46113;2427;1213;63.84;3967;208.79;31115;1637.63;17957;945.11;13158;692.53;215;11.32;1146;60.32;2671.14;140.59;1690.85;88.99;26392;1389.05;18533;975.42;3637;191.42;31466054;1656108.12;8453.73;444.93;8461.18;445.33;3786.54;199.29;11816.53;621.92;7692.44;404.87;1192.5;62.76;529.47;27.87;0;4864;256;15176.29;798.75;5525.12;290.8;13723.84;722.31;6977.51;367.24;10218.71;537.83;6484.52;341.29;3998.18;210.43;71;3.74;81;4.26
SONIQS;15;10;66.67;17237;1149.13;36;2.4;29;1.93;68;4.53;142;9.47;103;6.87;20;1.33;25.35;1066;154.09;92183;6145.53;60635;4042.33;31548;2103.2;756;50.4;2810;187.33;24356;1623.73;13970;931.33;10386;692.4;167;11.13;919;61.27;1483.83;98.92;1472.73;98.18;10255;683.67;15626;1041.73;3003;200.2;21970932;1464728.75;7574.76;504.98;6183.46;412.23;1770.4;118.03;9015.25;601.02;5636.13;375.74;877.28;58.49;361.63;24.11;0;3389;225.93;11300.54;753.37;4228.04;281.87;9505.83;633.72;6022.75;401.52;6741.24;449.42;5265.19;351.01;3522.19;234.81;48;3.2;48;3.2
FFF;14;3;21.43;14850;1060.71;16;1.14;13;0.93;87;6.21;71;5.07;157;11.21;40;2.86;22.54;1228.57;136.93;101413;7243.79;68961;4925.79;32452;2318;816;58.29;2765;197.5;20842;1488.71;12422;887.29;8420;601.43;144;10.29;733;52.36;2161.32;154.38;1153.2;82.37;15620;1115.71;12530;895;1905;136.07;22155448;1582532;6683.94;477.42;6181.48;441.53;2287.06;163.36;8168.43;583.46;6020.28;430.02;963.87;68.85;370.55;26.47;0;3300;235.71;10554.66;753.9;4597.94;328.42;10370.25;740.73;4782.29;341.59;7858.79;561.34;4549.06;324.93;2744.76;196.05;44;3.14;54;3.86
THE PEEPS;10;9;90.00;10895;1089.5;23;2.3;20;2;37;3.7;96;9.6;59;5.9;10;1;23.96;1293.5;139.59;72458;7245.8;50198;5019.8;22260;2226;606;60.6;1857;185.7;16384;1638.4;9761;976.1;6623;662.3;115;11.5;547;54.7;1449.49;144.95;923.85;92.39;11104;1110.4;9865;986.5;1632;163.2;15359148;1535914.75;4339.46;433.95;4340.54;434.05;1574.55;157.45;5906.56;590.66;3697.14;369.71;650.82;65.08;239.4;23.94;0;2281;228.1;7579.89;757.99;2674.65;267.46;6402.26;640.23;3852.32;385.23;4618.6;461.86;3421.18;342.12;2214.72;221.47;32;3.2;36;3.6
CONTINUUM;23;13;56.52;26027;1131.61;43;1.87;35;1.52;132;5.74;176;7.65;198;8.61;35;1.52;24.43;1138.43;144.77;155022;6740.09;110407;4800.3;44615;1939.78;1381;60.04;3874;168.43;35273;1533.61;21351;928.3;13922;605.3;265;11.52;1187;51.61;2815.71;122.42;3084.07;134.09;24488;1064.7;28149;1223.87;5300;230.43;35288040;1534262.62;11470.56;498.72;9648.72;419.51;3300.68;143.51;14550.76;632.64;8375.49;364.15;1493.64;64.94;359.68;15.64;0;3117;135.52;17429.27;757.79;6990.65;303.94;15623.75;679.29;8796.16;382.44;11435.6;497.2;8037.88;349.47;4946.45;215.06;70;3.04;59;2.57
ADEPT;13;4;30.77;13089;1006.85;20;1.54;18;1.38;62;4.77;88;6.77;112;8.62;35;2.69;22.73;1190.08;144.8;88003;6769.46;60025;4617.31;27978;2152.15;715;55;2436;187.38;19458;1496.77;11524;886.46;7934;610.31;134;10.31;694;53.38;1548.48;119.11;986.83;75.91;14144;1088;11543;887.92;1893;145.62;19206080;1477390.75;6274.32;482.64;5226.36;402.03;1909.96;146.92;7555.77;581.21;5037.21;387.48;817.65;62.9;278.93;21.46;0;2376;182.77;9237.78;710.6;4172.84;320.99;8785.92;675.84;4624.74;355.75;6333.91;487.22;4489.65;345.36;2587.07;199.01;47;3.62;32;2.46
KNIGHTS;21;10;47.62;22089;1051.86;46;2.19;35;1.67;88;4.19;167;7.95;152;7.24;45;2.14;27.54;1200.1;157.24;148173;7055.86;100996;4809.33;47177;2246.52;1268;60.38;4172;198.67;32029;1525.19;18372;874.86;13657;650.33;230;10.95;1189;56.62;1962.18;93.44;2892.92;137.76;22542;1073.43;27162;1293.43;4868;231.81;32418572;1543741.5;10196.61;485.55;8364.28;398.3;3587.4;170.83;13081.08;622.91;7796.67;371.27;1270.57;60.5;479.68;22.84;0;4483;213.48;16122.82;767.75;6025.51;286.93;14505.42;690.73;7642.84;363.94;10598.38;504.68;7360.22;350.49;4189.66;199.51;58;2.76;60;2.86
TEAM FRONTLINE;18;12;66.67;18818;1045.44;31;1.72;23;1.28;85;4.72;150;8.33;126;7;20;1.11;20.67;1226.39;150.45;125997;6999.83;88500;4916.67;37497;2083.17;1042;57.89;3334;185.22;30095;1671.94;19093;1060.72;11002;611.22;221;12.28;979;54.39;2253.93;125.22;1442.93;80.16;13963;775.72;16467;914.83;3187;177.06;26875972;1493109.5;8791.01;488.39;7518.07;417.67;2345;130.28;10610.36;589.46;6945.94;385.89;1097.83;60.99;471.42;26.19;0;5003;277.94;13456.59;747.59;5197.54;288.75;11819.84;656.66;6834.32;379.68;8441.2;468.96;6228.4;346.02;3984.54;221.36;54;3;51;2.83
NRG;14;11;78.57;16946;1210.43;39;2.79;32;2.29;58;4.14;134;9.57;91;6.5;19;1.36;29.1;1267.43;153.35;103672;7405.14;74134;5295.29;29538;2109.86;911;65.07;2586;184.71;23811;1700.79;14963;1068.79;8848;632;181;12.93;773;55.21;1340.68;95.76;1741.64;124.4;15294;1092.43;16973;1212.36;3117;222.64;22370060;1597861.38;6254.21;446.73;5958.25;425.59;2640.73;188.62;8464.33;604.6;5506.38;393.31;882.47;63.03;350.44;25.03;0;3735;266.79;11102.28;793.02;3750.9;267.92;9267.47;661.96;5585.74;398.98;6620.38;472.88;5035.37;359.67;3197.46;228.39;39;2.79;33;2.36
NEFARIOUS;22;10;45.45;22834;1037.91;37;1.68;27;1.23;104;4.73;171;7.77;178;8.09;40;1.82;21.64;1266;140.16;163101;7413.68;112275;5103.41;50826;2310.27;1340;60.91;4345;197.5;34284;1558.36;20419;928.14;13865;630.23;237;10.77;1171;53.23;3676.72;167.12;2054.31;93.38;21744;988.36;21406;973;3161;143.68;34796112;1581641.5;10338.29;469.92;9750.97;443.23;3448.21;156.74;13205.5;600.25;8799.82;399.99;1532.18;69.64;622.78;28.31;0;6081;276.41;16989.52;772.25;6547.87;297.63;15214.64;691.57;8322.7;378.3;10906.15;495.73;7959.65;361.8;4671.63;212.35;47;2.14;64;2.91
OMELETTE;21;10;47.62;23366;1112.67;43;2.05;40;1.9;98;4.67;185;8.81;165;7.86;40;1.9;23.24;1245.24;142.05;158204;7533.52;113028;5382.29;45176;2151.24;1359;64.71;3905;185.95;38031;1811;24160;1150.48;13871;660.52;289;13.76;1190;56.67;3213.01;153;2385.91;113.61;26250;1250;23332;1111.05;4829;229.95;34493720;1642558.12;9544.72;454.51;9629.59;458.55;3762.01;179.14;13084.95;623.09;8543.53;406.83;1307.84;62.28;445.26;21.2;0;4823;229.67;16293.91;775.9;6642.44;316.31;14240.61;678.12;8695.7;414.08;10370.45;493.83;7525.66;358.36;5040.19;240.01;73;3.48;66;3.14
ALPINE ESPORTS;13;10;76.92;15639;1203;35;2.69;28;2.15;63;4.85;116;8.92;96;7.38;22;1.69;30.17;1270.31;150.63;94489;7268.38;64575;4967.31;29914;2301.08;777;59.77;2651;203.92;20590;1583.85;11801;907.77;8789;676.08;139;10.69;770;59.23;1590.52;122.35;1322.45;101.73;14725;1132.69;13966;1074.31;2223;171;19741106;1518546.62;5946.43;457.42;5347.79;411.37;2153.67;165.67;7647.5;588.27;4992.96;384.07;807.41;62.11;305.84;23.53;0;3305;254.23;9701.52;746.27;3746.38;288.18;8673.01;667.15;4774.84;367.3;6351.8;488.6;4297.21;330.55;2798.9;215.3;37;2.85;38;2.92
TEAM ENVY;12;9;75.00;13978;1164.83;33;2.75;28;2.33;50;4.17;101;8.42;77;6.42;16;1.33;32.67;1181.92;152.81;82315;6859.58;58582;4881.83;23733;1977.75;724;60.33;2087;173.92;18276;1523;11371;947.58;6905;575.42;142;11.83;605;50.42;1387.22;115.6;1222.77;101.9;10440;870;14355;1196.25;2964;247;18618688;1551557.38;5503.36;458.61;5068.47;422.37;1969.51;164.13;6856.51;571.38;4917.86;409.82;766.99;63.92;272.52;22.71;0;2107;175.58;9465.69;788.81;3075.66;256.3;8197.77;683.15;4343.63;361.97;5970.28;497.52;4095.39;341.28;2475.66;206.3;33;2.75;26;2.17
INFINITE SHOTS;12;3;25.00;11670;972.5;20;1.67;19;1.58;47;3.92;89;7.42;84;7;30;2.5;22.47;1287.42;144.25;92147;7678.92;60444;5037;31703;2641.92;721;60.08;2684;223.67;20666;1722.17;11486;957.17;9180;765;134;11.17;795;66.25;1574.17;131.18;1113.89;92.82;15205;1267.08;11627;968.92;1923;160.25;19427094;1618924.5;5855.28;487.94;5083.99;423.67;2196.53;183.04;7351.38;612.62;5006.34;417.2;778.15;64.85;293.62;24.47;0;2668;222.33;9375.53;781.29;3760.31;313.36;8355.07;696.26;4780.77;398.4;6062.56;505.21;4360.49;363.37;2712.8;226.07;48;4;29;2.42
THE 1ST GRADERS;20;11;55.00;24627;1231.35;39;1.95;36;1.8;121;6.05;160;8;206;10.3;47;2.35;24.38;1207.45;142.37;153264;7663.2;104152;5207.6;49112;2455.6;1216;60.8;4283;214.15;33376;1668.8;19664;983.2;13712;685.6;233;11.65;1175;58.75;2965.16;148.26;2004.54;100.23;19786;989.3;17738;886.9;3717;185.85;34587836;1729391.75;9737.31;486.87;9647.16;482.36;3723.11;186.16;12599.33;629.97;9002.4;450.12;1505.95;75.3;507.17;25.36;0;5474;273.7;16360.59;818.03;6747.1;337.35;15089.87;754.49;8017.74;400.89;11064.81;553.24;7518.35;375.92;4524.45;226.22;51;2.55;53;2.65
HC ESPORTS;12;3;25.00;12313;1026.08;11;0.92;8;0.67;67;5.58;68;5.67;116;9.67;26;2.17;16.18;1196.25;149.37;86795;7232.92;57650;4804.17;29145;2428.75;702;58.5;2544;212;19245;1603.75;11200;933.33;8045;670.42;135;11.25;685;57.08;1463.56;121.96;1402.7;116.89;12309;1025.75;13109;1092.42;2161;180.08;19217968;1601497.38;6085.55;507.13;5150.83;429.24;1922.33;160.19;7472.02;622.67;4855.48;404.62;831.29;69.27;252.36;21.03;0;2343;195.25;9184.96;765.41;3973.78;331.15;8771.75;730.98;4387.04;365.59;6575.59;547.97;4054.19;337.85;2529.01;210.75;34;2.83;52;4.33
EUNITED;21;8;38.10;24235;1154.05;36;1.71;31;1.48;112;5.33;174;8.29;174;8.29;34;1.62;20.69;1208.71;151.03;156249;7440.43;111997;5333.19;44252;2107.24;1381;65.76;3768;179.43;35289;1680.43;22081;1051.48;13208;628.95;269;12.81;1103;52.52;2719.7;129.51;3177.12;151.29;21699;1033.29;26466;1260.29;5007;238.43;34860656;1660031.25;10759.32;512.35;8867.91;422.28;3992.04;190.1;13686.42;651.73;8426.82;401.28;1505.99;71.71;492.88;23.47;0;4781;227.67;17016.59;810.31;6602.67;314.41;15288.65;728.03;8330.57;396.69;11243.64;535.41;7573.83;360.66;4801.78;228.66;51;2.43;68;3.24
XSET;14;5;35.71;14534;1038.14;27;1.93;22;1.57;55;3.93;102;7.29;112;8;31;2.21;26.47;1262.21;149.45;105127;7509.07;73524;5251.71;31603;2257.36;879;62.79;2740;195.71;25919;1851.36;16192;1156.57;9727;694.79;182;13;836;59.71;1790.95;127.93;1572.45;112.32;15510;1107.86;14561;1040.07;1982;141.57;22178872;1584205.12;6694.58;478.18;5949.38;424.96;2410.79;172.2;8657.71;618.41;5545.91;396.14;851.14;60.8;339.06;24.22;0;3291;235.07;10651.6;760.83;4403.23;314.52;9530.06;680.72;5524.7;394.62;6889.47;492.1;5048.43;360.6;3116.91;222.64;48;3.43;35;2.5
SPACESTATION;13;9;69.23;15594;1199.54;28;2.15;22;1.69;62;4.77;125;9.62;99;7.62;24;1.85;22.4;1213.23;156.28;107550;8273.08;77472;5959.38;30078;2313.69;959;73.77;2648;203.69;22516;1732;13599;1046.08;8917;685.92;164;12.62;772;59.38;1739.71;133.82;2122.74;163.29;15567;1197.46;19412;1493.23;2889;222.23;23336212;1795093.25;7138.16;549.09;6345.8;488.14;2375.67;182.74;9270.83;713.14;5657.11;435.16;931.71;71.67;355.67;27.36;0;3123;240.23;11590.07;891.54;4269.54;328.43;10083.61;775.66;5776.02;444.31;7369.12;566.86;5216.56;401.27;3274.02;251.85;46;3.54;48;3.69
TEAM METEOR;1;0;0.00;1262;1262;1;1;1;1;12;12;4;4;17;17;2;2;25;1137;137.37;7055;7055;4453;4453;2602;2602;53;53;229;229;1299;1299;733;733;566;566;9;9;49;49;145.39;145.39;93.8;93.8;593;593;902;902;172;172;1530868;1530868;534.7;534.7;439.11;439.11;117.32;117.32;619.9;619.9;405.57;405.57;65.68;65.68;25.19;25.19;0;257;257;774.53;774.53;316.6;316.6;775.08;775.08;316.05;316.05;595.9;595.9;330.4;330.4;164.84;164.84;3;3;3;3
TEAM METEOR;13;5;38.46;15039;1156.85;24;1.85;16;1.23;84;6.46;85;6.54;132;10.15;34;2.62;28.24;1205.08;147.01;92734;7133.38;63894;4914.92;28840;2218.46;770;59.23;2500;192.31;21310;1639.23;12859;989.15;8451;650.08;161;12.38;729;56.08;1745.38;134.26;1484.16;114.17;12626;971.23;13570;1043.85;3330;256.15;20178474;1552190.25;6450.27;496.17;5510.76;423.9;2045.23;157.33;7643.63;587.97;5523.17;424.86;839.46;64.57;299.75;23.06;0;3031;233.15;10079.52;775.35;3926.75;302.06;9324.96;717.3;4681.32;360.1;6937.3;533.64;4391.36;337.8;2677.61;205.97;48;3.69;37;2.85
